ID,Animal,Height (cm),Weight (kg),Color,Lifespan (years),Diet,Habitat,Predators,Average Speed (km/h),Countries Found,Conservation Status,Family,Gestation Period (days),Top Speed (km/h),Social Structure,Offspring per Birth,_norm_name,animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type,_norm_name,Image 1 Path
A022,Iberian Lynx,60-70,9-14,Yellowish-brown,10-13,Carnivore,Mediterranean Scrublands,"Humans, Wildcats",70-80,"Spain, Portugal",Endangered,Felidae,63-67,70-80,Solitary,1-4,iberian lynx,lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,lynx,Images/Iberian Lynx.jpg
A023,Kiwi,25-46,1.0-3.3,Brown,25-50,Omnivore,Forests,"Stoats, Cats",6.4-9.6,New Zealand,Vulnerable,Apterygidae,63-92,9,Solitary,1,kiwi,kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2,kiwi,Images/Kiwi.jpg
A024,Mountain Gorilla,120-200,70-200,"Black, Brown",35-40,Herbivore,"Rainforests, Mountains","Leopards, Humans",40,"Democratic Republic of Congo, Uganda",Endangered,Hominidae,255-270,40,Group-based,1,mountain gorilla,gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1,gorilla,Images/Mountain Gorilla.jpg
A025,Platypus,10-15,0.7-2.4,Brown,10-17,"Carnivore, Insectivore",Eastern Australia,"Foxes, Birds of Prey",3-7,Australia,Near Threatened,Ornithorhynchidae,10 days (in burrow),9,Solitary,1-3 (rarely 5),platypus,platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1,platypus,Images/Platypus.jpg
A026,Polar Bear,Up to 160,Up to 700,White,25-30,Carnivore,Arctic,Orcas,40,Arctic,Vulnerable,Ursidae,195-265,40,Solitary,1-2,polar bear,bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,bear,Images/Polar Bear.jpg
A027,Red-Eyed Tree Frog,5.1-7.5,Up to 0.1,"Green, Red",Up to 5,Insectivore,Rainforests,"Snakes, Birds",Not Applicable,Central America,Least Concern,Hylidae,5-7,Not Applicable,Solitary,Up to 100,red eyed tree frog,frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5,frog,Images/Red-Eyed Tree Frog.jpg
A028,Snow Leopard,50-70,22-75,"Grayish-yellow, Black",10-15,Carnivore,"Mountains, Steppes","Humans, Wolves",40-60,Central and South Asia,Vulnerable,Felidae,90-100,40-60,Solitary,1-5,snow leopard,leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,leopard,Images/Snow Leopard.jpg
A029,Spectacled Bear,120-200,35-77,"Black, Tan",10-25,Omnivore,Forests,"Jaguars, Pumas",45,South America,Vulnerable,Ursidae,200-294,45,Solitary,1,spectacled bear,bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,bear,Images/Spectacled Bear.jpg
A030,Star-Nosed Mole,12-20,Up to 0.06,"Black, Pink",Up to 4,Insectivore,"Wetlands, Forests",Not Applicable,1.2,North America,Least Concern,Talpidae,16-22,1.2,Solitary,2-10,star nosed mole,mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,mole,Images/Star-Nosed Mole.jpg
A031,Sun Bear,120-150,27-80,Black,25-30,Omnivore,Tropical Forests,"Tigers, Leopards",32-56,Southeast Asia,Vulnerable,Ursidae,90-150,32-56,Solitary,1-2,sun bear,bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,bear,Images/Sun Bear.jpg
A032,Termite,Up to 0.5,Up to 0.02,Varies,Varies,Herbivore,"Forests, Grasslands",Not Applicable,Varies,Worldwide,Not Applicable,Termitoidae,Varies,Varies,Social groups,Varies,termite,termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,termite,Images/Termite.jpg
A033,Tuatara,Up to 80,Up to 1.5,Grayish-brown,Up to 100,"Carnivore, Insectivore","Islands, Coastal Areas","Rats, Cats",0.03,New Zealand,Vulnerable,Rhynchocephalia,12-15,Not Applicable,Solitary,Up to 16,tuatara,tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3,tuatara,Images/Tuatara.jpg
A034,Vulture,Varies,Varies,"Black, Brown",Varies,Carnivore,Various,Not Applicable,Varies,"Africa, Asia, Americas",Varies,Accipitridae,Varies,Varies,Social groups,Varies,vulture,vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2,vulture,Images/Vulture.jpg
A035,Water Buffalo,200-300,300-1200,Dark Gray,20-25,Herbivore,"Grasslands, Wetlands","Tigers, Crocodiles",40,"Asia, Africa",Least Concern,Bovidae,240-270,40,Group-based,30-500,water buffalo,buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,buffalo,Images/Water Buffalo.jpg
A036,Western Gorilla,140-200,68-182,Black,30-40,Herbivore,Rainforests,"Leopards, Humans",40,Central Africa,Critically Endangered,Hominidae,220-270,40,Social groups,1,western gorilla,gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1,gorilla,Images/Western Gorilla.jpg
A037,Western Lowland Gorilla,140-200,68-181,Black,30-40,Herbivore,Rainforests,"Leopards, Humans",40,Central Africa,Critically Endangered,Hominidae,220-270,40,Social groups,1,western lowland gorilla,gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1,gorilla,Images/Western Lowland Gorilla.jpg
A038,Wild Boar,65-100,30-120,"Brown, Black",10-25,Omnivore,"Forests, Grasslands","Tigers, Leopards",20,"Eurasia, North Africa, Americas",Least Concern,Suidae,160-190,20,Group-based,6-30,wild boar,boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,boar,Images/Wild Boar.jpg
A039,Yellow-Eyed Penguin,60-65,1-3,"Yellow, White",Up to 20,Carnivore,Coastal Areas,"Seals, Orcas",25,New Zealand,Endangered,Spheniscidae,80-90,25,Solitary,1,yellow eyed penguin,penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2,penguin,Images/Yellow-Eyed Penguin.jpg
